name,domain,country,state,city,employees,revenue,founded_year,type,employees_num,revenue_num,founded_year_num,main_industry,categories_list,category_primary
Yale Medicine,yalemedicine.org,United States,Connecticut,New Haven,51-200,10m-50m,2016.0,nonprofit,125.5,30000000.0,2016.0,hospitals and physicians clinics,"['b2c', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2C
Environmental Protection Agency,epa.gov,United States,Connecticut,Washington,over-10K,10m-50m,1970.0,government,12000.0,30000000.0,1970.0,"energy, utilities and waste","['b2g', 'service-provider']",B2G
National Park Service,nps.gov,United States,Connecticut,Washington,over-10K,200m-1b,1916.0,government,12000.0,600000000.0,1916.0,government,"['b2g', 'service-provider', 'media']",B2G
World Bank,worldbank.org,United States,Connecticut,Washington,over-10K,over-1b,1944.0,nonprofit,12000.0,1500000000.0,1944.0,organizations,['b2g'],B2G
National Academy of Medicine,nam.edu,United States,Connecticut,Washington,51-200,Unknown,1970.0,nonprofit,125.5,600000000.0,1970.0,organizations,"['b2b', 'b2g', 'media']",B2B
Tesla,tesla.com,United States,Texas,Austin,over-10K,over-1b,2003.0,private,12000.0,1500000000.0,2003.0,manufacturing,"['b2c', 'b2b']",B2C
Office for National Statistics,ons.gov.uk,United Kingdom,Wales,Newport,1K-5K,1m-10m,1990.0,government,3000.0,5500000.0,1990.0,"energy, utilities and waste","['b2g', 'media']",B2G
IPCC,ipcc.ch,Switzerland,Geneva,Unknown,201-500,1m-10m,1988.0,nonprofit,350.5,5500000.0,1988.0,business services,['b2g'],B2G
Josh Müller,joshmuller.ca,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,business services,"['b2b', 'service-provider']",B2B
AiREAS,aireas.com,Netherlands,North Brabant,Best,1-10,10m-50m,2011.0,public,5.5,30000000.0,2011.0,business services,"['b2g', 'b2c', 'service-provider']",B2G
Companhia de Desenvolvimento e Ação Regional,car.ba.gov.br,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,government,"['b2g', 'service-provider']",B2G
NOAA,noaa.gov,United States,Connecticut,Washington,over-10K,200m-1b,1807.0,government,12000.0,600000000.0,1807.0,government,['b2g'],B2G
Met Office,metoffice.gov.uk,United Kingdom,England,Exeter,1K-5K,1m-10m,1854.0,government,3000.0,5500000.0,1854.0,business services,"['b2g', 'service-provider']",B2G
Umweltbundesamt,umweltbundesamt.de,Germany,Saxony-Anhalt,Dessau-Roßlau,201-500,1m-10m,1974.0,government,350.5,5500000.0,1974.0,government,"['b2g', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2G
UNEP,unep.org,Kenya,Nairobi City,Nairobi,1K-5K,1m-10m,1972.0,nonprofit,3000.0,5500000.0,1972.0,business services,"['b2g', 'service-provider']",B2G
USGS,usgs.gov,United States,Virginia,Reston,5K-10K,1m-10m,1879.0,government,7500.0,5500000.0,1879.0,business services,"['b2g', 'service-provider']",B2G
Council of Europe,coe.int,France,Grand-Est,Strasbourg,1K-5K,1m-10m,1949.0,nonprofit,3000.0,5500000.0,1949.0,"energy, utilities and waste",['b2g'],B2G
World Resources Institute,wri.org,United States,Connecticut,Washington,1K-5K,50m-100m,2005.0,nonprofit,3000.0,75000000.0,2005.0,organizations,"['b2b', 'b2g', 'media', 'saas']",B2B
Department of Health,health.gov.au,Australia,Australian Capital Territory,Canberra,5K-10K,1m-10m,1921.0,government,7500.0,5500000.0,1921.0,government,"['b2g', 'service-provider']",B2G
U.S. Fish and Wildlife Service,fws.gov,United States,Connecticut,Washington,5K-10K,1m-10m,1940.0,government,7500.0,5500000.0,1940.0,"energy, utilities and waste","['b2g', 'service-provider']",B2G
Inhabitat,inhabitat.com,United States,California,El Segundo,1-10,10m-50m,2005.0,private,5.5,30000000.0,2005.0,business services,"['b2c', 'media']",B2C
BP,bp.com,United Kingdom,England,London,over-10K,over-1b,1909.0,public,12000.0,1500000000.0,1909.0,"energy, utilities and waste","['b2b', 'b2c']",B2B
Bureau of Meteorology,bom.gov.au,Australia,Victoria,Melbourne,1K-5K,1m-10m,1908.0,government,3000.0,5500000.0,1908.0,"energy, utilities and waste",['b2g'],B2G
IUCN,iucn.org,Switzerland,Vaud,Gland,1K-5K,10m-50m,1948.0,nonprofit,3000.0,30000000.0,1948.0,organizations,"['b2b', 'b2g']",B2B
Deutscher Wetterdienst,dwd.de,Germany,Hesse,Offenbach,501-1K,200m-1b,1952.0,government,251000.0,600000000.0,1952.0,business services,"['b2g', 'service-provider']",B2G
City of Toronto,toronto.ca,Canada,Unknown,Unknown,over-10K,over-1b,1953.0,government,12000.0,1500000000.0,1953.0,government,['b2g'],B2G
Health and Safety Executive,hse.gov.uk,United Kingdom,England,Bootle,1K-5K,50m-100m,1974.0,government,3000.0,75000000.0,1974.0,government,"['b2g', 'service-provider']",B2G
DMI,dmi.dk,Denmark,Capital Region of Denmark,København,201-500,50m-100m,1872.0,government,350.5,75000000.0,1872.0,business services,"['b2g', 'service-provider']",B2G
Shell,shell.com,United Kingdom,England,London,over-10K,over-1b,1907.0,public,12000.0,1500000000.0,1907.0,"energy, utilities and waste","['b2b', 'b2c', 'service-provider']",B2B
GHG Protocol,ghgprotocol.org,United States,Connecticut,Washington,Unknown,1m-10m,1998.0,Unknown,3000.0,5500000.0,1998.0,organizations,"['b2b', 'b2g']",B2B
EDF,edf.fr,France,Île-de-France,Paris,over-10K,over-1b,1946.0,public,12000.0,1500000000.0,1946.0,"energy, utilities and waste","['b2b', 'b2c', 'b2g', 'service-provider']",B2B
CEPAL,cepal.org,Chile,Región Metropolitana de Santiago,Santiago,501-1K,10m-50m,1948.0,nonprofit,251000.0,30000000.0,1948.0,business services,"['b2g', 'service-provider']",B2G
Office of the Assistant Secretary for Health,health.gov,United States,Connecticut,Washington,51-200,Unknown,2012.0,government,125.5,600000000.0,2012.0,government,['b2g'],B2G
NSF,nsf.org,United States,Virginia,Arlington,1K-5K,50m-100m,1944.0,nonprofit,3000.0,75000000.0,1944.0,business services,"['b2b', 'service-provider']",B2B
Bureau of Land Management,blm.gov,United States,Virginia,Washington,5K-10K,10m-50m,1946.0,government,7500.0,30000000.0,1946.0,government,"['b2g', 'service-provider']",B2G
UN Women,unwomen.org,United States,New York,New York City,1K-5K,Unknown,2010.0,Unknown,3000.0,600000000.0,2010.0,organizations,"['b2g', 'saas']",B2G
SMHI,smhi.se,Sweden,Östergötland County,Norrköping,501-1K,50m-100m,1919.0,government,251000.0,75000000.0,1919.0,business services,"['b2g', 'service-provider']",B2G
ENERGY STAR,energystar.gov,United States,Connecticut,Washington,Unknown,10m-50m,1992.0,Unknown,3000.0,30000000.0,1992.0,government,"['b2g', 'b2c', 'media', 'saas', 'service-provider']",B2G
GE,ge.com,United States,Massachusetts,Boston,over-10K,over-1b,1892.0,public,12000.0,1500000000.0,1892.0,manufacturing,"['b2b', 'b2g']",B2B
Chevron,chevron.com,United States,Texas,Houston,over-10K,over-1b,1879.0,public,12000.0,1500000000.0,1879.0,"energy, utilities and waste","['b2b', 'b2c', 'saas']",B2B
Fraunhofer,fraunhofer.de,Germany,Bavaria,Munich,1K-5K,over-1b,1949.0,nonprofit,3000.0,1500000000.0,1949.0,business services,"['b2b', 'b2g', 'service-provider']",B2B
City of Detroit,detroitmi.gov,United States,Michigan,Detroit,5K-10K,over-1b,1701.0,government,7500.0,1500000000.0,1701.0,government,"['b2g', 'service-provider']",B2G
Rainforest Alliance,rainforest-alliance.org,United States,New York,Unknown,1K-5K,50m-100m,1987.0,nonprofit,3000.0,75000000.0,1987.0,organizations,"['b2b', 'service-provider']",B2B
New York City Department of Parks and Recreation,nycgovparks.org,United States,New York,Unknown,1-10,Unknown,2017.0,nonprofit,5.5,600000000.0,2017.0,government,['b2g'],B2G
NRDC,nrdc.org,United States,New York,Unknown,501-1K,50m-100m,1970.0,nonprofit,251000.0,75000000.0,1970.0,organizations,"['b2c', 'media']",B2C
Bundesnetzagentur,bundesnetzagentur.de,Germany,North Rhine-Westphalia,Bonn,501-1K,200m-1b,1998.0,government,251000.0,600000000.0,1998.0,government,"['b2g', 'service-provider']",B2G
Ecologi,ecologi.com,United Kingdom,England,London,51-200,10m-50m,2019.0,private,125.5,30000000.0,2019.0,business services,"['b2b', 'b2c', 'saas']",B2B
Food Standards Agency,food.gov.uk,United Kingdom,England,London,1K-5K,1m-10m,2000.0,government,3000.0,5500000.0,2000.0,"energy, utilities and waste","['b2g', 'service-provider']",B2G
Basque Government,euskadi.eus,Spain,Unknown,Unknown,201-500,Unknown,1983.0,government,350.5,600000000.0,1983.0,government,"['b2g', 'service-provider', 'saas', 'e-commerce', 'mobile', 'media']",B2G
Environment and Heritage,environment.nsw.gov.au,Australia,New South Wales,Parramatta,Unknown,10m-50m,2003.0,Unknown,3000.0,30000000.0,2003.0,government,"['b2g', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2G
Ministry of Ecological Transition,ecologie.gouv.fr,France,Île-de-France,Paris,5K-10K,10m-50m,1971.0,government,7500.0,30000000.0,1971.0,government,"['b2g', 'media']",B2G
King County,kingcounty.gov,United States,Washington,Seattle,over-10K,10m-50m,1852.0,government,12000.0,30000000.0,1852.0,government,['b2g'],B2G
Government of Prince Edward Island,princeedwardisland.ca,Canada,Prince Edward Island,Charlottetown,1K-5K,1m-10m,2010.0,government,3000.0,5500000.0,2010.0,government,['b2g'],B2G
ČEZ,cez.cz,Czech Republic,Unknown,Unknown,1K-5K,over-1b,1992.0,public,3000.0,1500000000.0,1992.0,"energy, utilities and waste","['b2b', 'b2c', 'service-provider']",B2B
City of Tallahassee,talgov.com,United States,Florida,Tallahassee,1K-5K,200m-1b,1901.0,government,3000.0,600000000.0,1901.0,government,"['b2g', 'b2c']",B2G
World Meteorological Organization,wmo.int,Switzerland,Geneva,Unknown,501-1K,1m-10m,1950.0,nonprofit,251000.0,5500000.0,1950.0,government,"['b2g', 'service-provider']",B2G
OVO Energy,ovoenergy.com,United Kingdom,England,Bristol,51-200,50m-100m,2008.0,Unknown,125.5,75000000.0,2008.0,"energy, utilities and waste","['b2c', 'b2b', 'service-provider']",B2C
Oceana,oceana.org,United States,Connecticut,Washington,501-1K,10m-50m,2001.0,nonprofit,251000.0,30000000.0,2001.0,organizations,"['b2g', 'b2c', 'media']",B2G
SBIR,sbir.gov,United States,California,San Francisco,1-10,1m-10m,2004.0,private,5.5,5500000.0,2004.0,business services,"['b2g', 'service-provider', 'saas']",B2G
ADEME,ademe.fr,France,Pays-de-la-Loire,Angers,1K-5K,Unknown,1990.0,government,3000.0,600000000.0,1990.0,government,"['b2g', 'service-provider']",B2G
Embrapa,embrapa.br,Brazil,Distrito Federal,Brasília,5K-10K,200m-1b,1973.0,government,7500.0,600000000.0,1973.0,business services,"['b2g', 'b2b', 'service-provider']",B2G
International Institute for Environment and Development,iied.org,United Kingdom,England,London,201-500,10m-50m,1971.0,nonprofit,350.5,30000000.0,1971.0,organizations,"['b2b', 'b2g', 'saas']",B2B
Woods Hole Oceanographic Institution,whoi.edu,United States,Massachusetts,Unknown,1K-5K,200m-1b,1930.0,nonprofit,3000.0,600000000.0,1930.0,business services,['b2b'],B2B
National Parks Board,nparks.gov.sg,Singapore,Central Singapore,Singapore,501-1K,1m-10m,1967.0,government,251000.0,5500000.0,1967.0,government,"['b2g', 'service-provider']",B2G
Deltares,deltares.nl,Netherlands,South Holland,Delft,1K-5K,1m-10m,2008.0,nonprofit,3000.0,5500000.0,2008.0,business services,"['b2b', 'b2g', 'service-provider']",B2B
AirNow,airnow.gov,United Kingdom,England,Unknown,1-10,1m-10m,2013.0,private,5.5,5500000.0,2013.0,"energy, utilities and waste",['b2g'],B2G
Duke Energy,duke-energy.com,United States,North Carolina,Charlotte,over-10K,over-1b,1904.0,public,12000.0,1500000000.0,1904.0,"energy, utilities and waste","['b2b', 'b2c', 'b2g', 'service-provider']",B2B
Statistisk sentralbyrå,ssb.no,Norway,Oslo,Oslo,501-1K,50m-100m,1876.0,government,251000.0,75000000.0,1876.0,government,"['b2g', 'service-provider']",B2G
Iberdrola,iberdrola.com,Spain,Madrid,Madrid,over-10K,over-1b,1992.0,private,12000.0,1500000000.0,1992.0,"energy, utilities and waste","['b2b', 'b2c', 'service-provider']",B2B
Trust for Public Land,tpl.org,United States,California,Los Angeles,501-1K,1m-10m,1972.0,nonprofit,251000.0,5500000.0,1972.0,organizations,"['b2g', 'b2c', 'service-provider']",B2G
UK Centre for Ecology & Hydrology,ceh.ac.uk,United Kingdom,England,Wallingford,501-1K,50m-100m,2019.0,nonprofit,251000.0,75000000.0,2019.0,business services,"['b2b', 'b2g', 'service-provider']",B2B
Science Based Targets initiative,sciencebasedtargets.org,United Kingdom,England,London,201-500,1m-10m,2015.0,nonprofit,350.5,5500000.0,2015.0,organizations,"['b2b', 'service-provider']",B2B
Occitanie,laregion.fr,France,Occitanie,Toulouse,1K-5K,10m-50m,1956.0,government,3000.0,30000000.0,1956.0,government,"['b2g', 'service-provider']",B2G
Hydro-Québec,hydroquebec.com,Canada,Quebec,Unknown,over-10K,over-1b,1944.0,government,12000.0,1500000000.0,1944.0,"energy, utilities and waste","['b2c', 'b2b', 'service-provider']",B2C
Conservation International,conservation.org,United States,Virginia,Arlington,1K-5K,50m-100m,1987.0,nonprofit,3000.0,75000000.0,1987.0,organizations,"['b2g', 'b2c']",B2G
Meteo.lt,meteo.lt,Lithuania,Vilnius City Municipality,Vilnius,11-50,Unknown,1921.0,government,30.5,600000000.0,1921.0,business services,"['b2g', 'service-provider']",B2G
Octopus Energy,octopus.energy,United Kingdom,England,London,1K-5K,over-1b,2015.0,private,3000.0,1500000000.0,2015.0,"energy, utilities and waste","['b2c', 'service-provider']",B2C
Wiltshire Council,wiltshire.gov.uk,United Kingdom,England,Trowbridge,1K-5K,1m-10m,2001.0,government,3000.0,5500000.0,2001.0,government,"['b2g', 'service-provider', 'saas', 'media', 'mobile', 'e-commerce']",B2G
Repsol,repsol.com,Spain,Madrid,Madrid,over-10K,over-1b,1986.0,private,12000.0,1500000000.0,1986.0,"energy, utilities and waste","['b2b', 'b2c']",B2B
MetService,metservice.com,New Zealand,Wellington Region,Wellington,201-500,10m-50m,1992.0,government,350.5,30000000.0,1992.0,business services,"['b2g', 'b2c', 'b2b', 'service-provider']",B2G
ORAU,orau.org,United States,Tennessee,Oak Ridge,1K-5K,10m-50m,1946.0,nonprofit,3000.0,30000000.0,1946.0,business services,"['b2b', 'b2g', 'service-provider']",B2B
Environment Canada,weather.gc.ca,Canada,Quebec,Gatineau,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,business services,"['b2c', 'b2g', 'service-provider']",B2C
TotalEnergies,totalenergies.com,United States,Texas,Houston,over-10K,under-1m,1924.0,public,12000.0,500000.0,1924.0,"energy, utilities and waste","['b2b', 'b2c', 'service-provider']",B2B
Portland General Electric,portlandgeneral.com,United States,Oregon,Portland,1K-5K,under-1m,1889.0,public,3000.0,500000.0,1889.0,"energy, utilities and waste","['b2c', 'b2b', 'service-provider']",B2C
NSW Department of Primary Industries and Regional Development,dpi.nsw.gov.au,Australia,New South Wales,Orange,501-1K,Unknown,Unknown,government,251000.0,600000000.0,,"energy, utilities and waste",['b2g'],B2G
UN ESCAP,unescap.org,Thailand,Bangkok,Bangkok,501-1K,1m-10m,1947.0,nonprofit,251000.0,5500000.0,1947.0,business services,['b2g'],B2G
CNC,cnc.fr,France,Île-de-France,Paris,501-1K,Unknown,1946.0,government,251000.0,600000000.0,1946.0,"energy, utilities and waste","['b2g', 'media']",B2G
Intertek,intertek.com,United Kingdom,England,London,over-10K,1m-10m,1885.0,public,12000.0,5500000.0,1885.0,business services,"['b2b', 'service-provider']",B2B
Convention on Biological Diversity,cbd.int,Canada,Quebec,Unknown,51-200,1m-10m,1992.0,nonprofit,125.5,5500000.0,1992.0,government,"['b2g', 'service-provider']",B2G
Carbon Trust,carbontrust.com,United Kingdom,England,London,201-500,10m-50m,2001.0,nonprofit,350.5,30000000.0,2001.0,business services,"['b2b', 'b2g', 'service-provider']",B2B
Statistics Sweden,scb.se,Sweden,Örebro County,Örebro,501-1K,1m-10m,1858.0,government,251000.0,5500000.0,1858.0,government,"['b2g', 'service-provider']",B2G
HUD User,huduser.gov,United States,Connecticut,Washington,1-10,10m-50m,Unknown,government,5.5,30000000.0,,business services,['b2g'],B2G
Fiji Government,fiji.gov.fj,Fiji Islands,Unknown,Unknown,201-500,1m-10m,1949.0,government,350.5,5500000.0,1949.0,government,['b2g'],B2G
Government of Nunavut,gov.nu.ca,Canada,Nunavut,Iqaluit,1K-5K,200m-1b,1999.0,government,3000.0,600000000.0,1999.0,government,['b2g'],B2G
Länsstyrelsen,lansstyrelsen.se,Sweden,Unknown,Unknown,501-1K,50m-100m,1719.0,government,251000.0,75000000.0,1719.0,government,"['b2g', 'service-provider']",B2G
Facebook,facebook.com,United States,California,Menlo Park,over-10K,over-1b,2004.0,Unknown,12000.0,1500000000.0,2004.0,business services,"['b2c', 'media', 'service-provider', 'mobile']",B2C
YouTube,youtube.com,Ireland,Leinster,Dublin,over-10K,over-1b,2005.0,public,12000.0,1500000000.0,2005.0,media and internet,"['b2c', 'b2b', 'media']",B2C
LinkedIn,linkedin.com,United States,California,Sunnyvale,over-10K,over-1b,2002.0,public,12000.0,1500000000.0,2002.0,business services,"['b2b', 'b2c', 'saas']",B2B
Google,google.com,United States,California,Mountain View,over-10K,over-1b,1998.0,public,12000.0,1500000000.0,1998.0,business services,"['b2b', 'b2c', 'e-commerce', 'saas']",B2B
Instagram,instagram.com,United States,California,San Francisco,over-10K,10m-50m,2010.0,public,12000.0,30000000.0,2010.0,business services,"['b2c', 'b2b', 'media', 'mobile']",B2C
GitHub,github.com,United States,California,San Francisco,5K-10K,200m-1b,2008.0,private,7500.0,600000000.0,2008.0,software,"['b2b', 'saas']",B2B
WordPress,wordpress.org,United States,California,Redwood City,5K-10K,50m-100m,2009.0,private,7500.0,75000000.0,2009.0,software,"['b2b', 'b2c', 'saas', 'media']",B2B
X,x.com,United States,California,San Francisco,1K-5K,over-1b,2017.0,public,3000.0,1500000000.0,2017.0,business services,"['b2c', 'b2b', 'b2g', 'media']",B2C
Pinterest,pinterest.com,Ireland,Leinster,Dublin,over-10K,over-1b,2010.0,public,12000.0,1500000000.0,2010.0,business services,"['b2c', 'b2b', 'media']",B2C
TikTok,tiktok.com,United States,California,Los Angeles,over-10K,over-1b,2012.0,private,12000.0,1500000000.0,2012.0,business services,"['b2c', 'b2b', 'mobile', 'media']",B2C
Amazon,amazon.com,United States,Washington,Seattle,over-10K,over-1b,1994.0,public,12000.0,1500000000.0,1994.0,business services,"['b2c', 'b2b', 'e-commerce', 'service-provider']",B2C
Creative Commons,creativecommons.org,United States,California,Mountain View,11-50,10m-50m,2001.0,nonprofit,30.5,30000000.0,2001.0,software,"['b2b', 'b2c', 'saas']",B2B
The New York Times,nytimes.com,United States,New York,Unknown,5K-10K,over-1b,1851.0,public,7500.0,1500000000.0,1851.0,media and internet,"['b2c', 'media']",B2C
Reddit,reddit.com,United States,Unknown,Unknown,1K-5K,200m-1b,2005.0,educational,3000.0,600000000.0,2005.0,media and internet,"['b2c', 'media']",B2C
Medium,medium.com,United States,California,San Francisco,5K-10K,10m-50m,2012.0,private,7500.0,30000000.0,2012.0,business services,"['b2c', 'media']",B2C
Microsoft,microsoft.com,United States,Washington,Redmond,over-10K,over-1b,1975.0,public,12000.0,1500000000.0,1975.0,manufacturing,"['b2b', 'b2c', 'saas']",B2B
Vimeo,vimeo.com,United States,New York,Unknown,501-1K,200m-1b,2004.0,public,251000.0,600000000.0,2004.0,media and internet,"['b2b', 'b2c', 'saas']",B2B
SoundCloud,soundcloud.com,Germany,Berlin,Berlin,501-1K,200m-1b,2007.0,private,251000.0,600000000.0,2007.0,media and internet,"['b2c', 'media']",B2C
VK,vk.com,Russia,Unknown,Unknown,501-1K,200m-1b,2016.0,partnership,251000.0,600000000.0,2016.0,business services,"['b2c', 'media']",B2C
The Verge,theverge.com,United States,Connecticut,Washington,51-200,10m-50m,2011.0,private,125.5,30000000.0,2011.0,business services,"['b2c', 'media']",B2C
Cloudflare,cloudflare.com,United States,California,San Francisco,5K-10K,over-1b,2009.0,public,7500.0,1500000000.0,2009.0,media and internet,"['b2b', 'service-provider']",B2B
Linktree,linktr.ee,Australia,Unknown,Unknown,201-500,10m-50m,2016.0,private,350.5,30000000.0,2016.0,business services,"['b2b', 'b2c', 'saas']",B2B
W3C,w3.org,United States,Massachusetts,Wakefield,201-500,1m-10m,1994.0,nonprofit,350.5,5500000.0,1994.0,organizations,"['b2b', 'b2g']",B2B
The Washington Post,washingtonpost.com,United States,Connecticut,Washington,1K-5K,50m-100m,1877.0,private,3000.0,75000000.0,1877.0,media and internet,"['b2c', 'media']",B2C
PayPal,paypal.com,Luxembourg,Unknown,Unknown,over-10K,over-1b,1998.0,public,12000.0,1500000000.0,1998.0,finance,"['b2b', 'b2c', 'service-provider']",B2B
World Health Organization,who.int,Switzerland,Geneva,Unknown,over-10K,over-1b,1948.0,nonprofit,12000.0,1500000000.0,1948.0,government,"['b2g', 'media']",B2G
Etsy,etsy.com,United States,New York,Unknown,5K-10K,over-1b,2005.0,public,7500.0,1500000000.0,2005.0,retail,"['b2c', 'b2b', 'e-commerce']",B2C
Mozilla,mozilla.org,United States,California,Mountain View,1K-5K,200m-1b,2005.0,private,3000.0,600000000.0,2005.0,software,"['b2c', 'media']",B2C
Twitch,twitch.tv,United States,California,San Francisco,over-10K,50m-100m,2007.0,public,12000.0,75000000.0,2007.0,media and internet,"['b2c', 'media']",B2C
The Guardian,theguardian.com,United Kingdom,England,London,1K-5K,200m-1b,1821.0,private,3000.0,600000000.0,1821.0,media and internet,"['b2c', 'media']",B2C
Flickr,flickr.com,United States,California,San Francisco,201-500,50m-100m,2004.0,private,350.5,75000000.0,2004.0,business services,"['b2c', 'media']",B2C
Adobe,adobe.com,United States,California,San Jose,over-10K,over-1b,1982.0,public,12000.0,1500000000.0,1982.0,software,"['b2b', 'b2c', 'saas']",B2B
Apple,apple.com,United States,California,Cupertino,over-10K,over-1b,1976.0,public,12000.0,1500000000.0,1976.0,manufacturing,"['b2c', 'e-commerce']",B2C
Bing,bing.com,United States,Washington,Redmond,over-10K,over-1b,1975.0,Unknown,12000.0,1500000000.0,1975.0,software,"['b2b', 'b2c', 'saas']",B2B
Patreon,patreon.com,United States,California,San Francisco,1K-5K,50m-100m,2013.0,private,3000.0,75000000.0,2013.0,business services,"['b2c', 'b2b', 'saas']",B2C
Dropbox,dropbox.com,United States,California,San Francisco,1K-5K,over-1b,2007.0,public,3000.0,1500000000.0,2007.0,software,"['b2b', 'b2c', 'saas']",B2B
Forbes,forbes.com,United States,New Jersey,Jersey City,5K-10K,200m-1b,1917.0,private,7500.0,600000000.0,1917.0,media and internet,"['b2c', 'media']",B2C
t.co,t.co,United States,California,San Francisco,5K-10K,over-1b,2006.0,Unknown,7500.0,1500000000.0,2006.0,business services,"['b2c', 'media', 'service-provider', 'mobile']",B2C
Canva,canva.com,Australia,New South Wales,Sydney,5K-10K,over-1b,2012.0,private,7500.0,1500000000.0,2012.0,software,"['b2b', 'b2c', 'saas']",B2B
CDC,cdc.gov,United States,Georgia,Atlanta,over-10K,200m-1b,1946.0,government,12000.0,600000000.0,1946.0,education,['b2g'],B2G
TechCrunch,techcrunch.com,United States,California,San Francisco,201-500,200m-1b,2008.0,private,350.5,600000000.0,2008.0,media and internet,"['b2b', 'b2c', 'media']",B2B
Internet Archive,archive.org,United States,California,San Francisco,201-500,10m-50m,1996.0,nonprofit,350.5,30000000.0,1996.0,media and internet,"['b2c', 'b2b', 'media']",B2C
Business Insider,businessinsider.com,United States,New York,Unknown,5K-10K,50m-100m,2007.0,private,7500.0,75000000.0,2007.0,media and internet,"['b2c', 'media']",B2C
TinyURL,tinyurl.com,United States,Unknown,Unknown,11-50,under-1m,2002.0,private,30.5,500000.0,2002.0,business services,"['b2c', 'service-provider']",B2C
Issuu,issuu.com,United States,California,Palo Alto,51-200,10m-50m,2006.0,private,125.5,30000000.0,2006.0,business services,"['b2b', 'b2c', 'saas']",B2B
BBC,bbc.co.uk,United Kingdom,England,London,over-10K,Unknown,1922.0,public,12000.0,600000000.0,1922.0,media and internet,"['b2c', 'media']",B2C
IMDb,imdb.com,United States,Washington,Seattle,1K-5K,200m-1b,1991.0,public,3000.0,600000000.0,1991.0,business services,"['b2c', 'b2b', 'media']",B2C
Slideshare,slideshare.net,United States,California,San Francisco,201-500,10m-50m,2006.0,private,350.5,30000000.0,2006.0,business services,"['b2b', 'b2c', 'media']",B2B
Reuters,reuters.com,United States,New York,Unknown,1K-5K,200m-1b,1851.0,public,3000.0,600000000.0,1851.0,media and internet,"['b2b', 'b2c', 'media']",B2B
The Atlantic,theatlantic.com,United States,Connecticut,Washington,1K-5K,50m-100m,1857.0,private,3000.0,75000000.0,1857.0,media and internet,"['b2c', 'media']",B2C
ScienceDirect,sciencedirect.com,United Kingdom,England,Kidlington,11-50,1m-10m,1973.0,public,30.5,5500000.0,1973.0,media and internet,"['b2b', 'media']",B2B
Eventbrite,eventbrite.com,United States,California,San Francisco,1K-5K,200m-1b,2006.0,public,3000.0,600000000.0,2006.0,software,"['b2b', 'b2c', 'saas']",B2B
Shopify,shopify.com,Canada,Ontario,Ottawa,over-10K,over-1b,2006.0,public,12000.0,1500000000.0,2006.0,software,"['b2b', 'saas']",B2B
Opera,opera.com,Norway,Unknown,Unknown,1K-5K,200m-1b,1995.0,public,3000.0,600000000.0,1995.0,software,"['b2c', 'mobile']",B2C
Tumblr,tumblr.com,United States,New York,Unknown,1K-5K,50m-100m,2007.0,private,3000.0,75000000.0,2007.0,business services,"['b2c', 'media']",B2C
ResearchGate,researchgate.net,Switzerland,Geneva,Unknown,11-50,10m-50m,2008.0,private,30.5,30000000.0,2008.0,business services,"['b2c', 'saas', 'media']",B2C
World Economic Forum,weforum.org,Switzerland,Geneva,Unknown,5K-10K,50m-100m,1971.0,nonprofit,7500.0,75000000.0,1971.0,organizations,"['b2b', 'b2g']",B2B
WIRED,wired.com,United States,California,San Francisco,501-1K,10m-50m,1993.0,private,251000.0,30000000.0,1993.0,media and internet,"['b2c', 'media']",B2C
Stripe,stripe.com,Ireland,Leinster,Dublin,over-10K,over-1b,2010.0,private,12000.0,1500000000.0,2010.0,finance,"['b2b', 'saas']",B2B
Behance,behance.net,United States,New York,Unknown,1K-5K,10m-50m,2014.0,public,3000.0,30000000.0,2014.0,business services,"['b2c', 'b2b', 'saas', 'media']",B2C
USA TODAY,usatoday.com,United States,Virginia,McLean,1K-5K,over-1b,1982.0,public,3000.0,1500000000.0,1982.0,media and internet,"['b2c', 'media']",B2C
Calendly,calendly.com,United States,Georgia,Atlanta,501-1K,50m-100m,2008.0,private,251000.0,75000000.0,2008.0,software,"['b2b', 'b2c', 'saas']",B2B
Blogger,blogger.com,United States,New York,Locust Valley,5K-10K,10m-50m,1996.0,private,7500.0,30000000.0,1996.0,business services,"['b2c', 'saas']",B2C
Unsplash,unsplash.com,Canada,Quebec,Unknown,201-500,1m-10m,2013.0,private,350.5,5500000.0,2013.0,business services,"['b2c', 'b2b', 'media']",B2C
NPR,npr.org,United States,Connecticut,Washington,1K-5K,200m-1b,1970.0,nonprofit,3000.0,600000000.0,1970.0,media and internet,"['b2c', 'media']",B2C
Deezer,deezer.com,France,Île-de-France,Paris,1K-5K,200m-1b,2007.0,public,3000.0,600000000.0,2007.0,media and internet,"['b2c', 'media']",B2C
WhatsApp,whatsapp.com,United States,California,Menlo Park,501-1K,over-1b,2009.0,public,251000.0,1500000000.0,2009.0,telecommunications,"['b2c', 'mobile', 'service-provider']",B2C
